Date;Open;High;Low;Close;Adj Close;Volume;Variation;Operation(1=BUY,0=NONE,-1=SELL)
01/09/2020;7038,5;7042;6903;6956,899902;6956,899902;226079800;0;0
02/09/2020;6973,100098;7046,100098;6963,899902;6996,899902;6996,899902;208505300;0,574968744;0
03/09/2020;7065,200195;7159,600098;6971,200195;7006;7006;246671100;0,130058999;0
04/09/2020;7015,700195;7133,399902;6954,700195;6989,700195;6989,700195;462539100;-0,232654939;0
07/09/2020;7032,799805;7098;7013;7080,700195;7080,700195;257575100;1,30191564;1
08/09/2020;7087,899902;7102,600098;6899;6955;6955;246699200;-1,775250915;-1
09/09/2020;6946,399902;7038,600098;6938,899902;7020,899902;7020,899902;202896600;0,947518361;1
10/09/2020;7020,600098;7050,899902;6967,399902;6999,200195;6999,200195;211096000;-0,309073015;0
11/09/2020;6989,399902;7000,899902;6910,399902;6943,200195;6943,200195;209115200;-0,800091417;-1
14/09/2020;6989,799805;7005,700195;6935;6951,100098;6951,100098;199767400;0,113778989;0
15/09/2020;6958,899902;7064;6954,799805;7036;7036;204185200;1,221387993;1
16/09/2020;7048,299805;7110,799805;7020,700195;7110,799805;7110,799805;239805900;1,063101265;1
17/09/2020;7027,100098;7101,799805;7013,799805;7086,200195;7086,200195;214242300;-0,34594716;0
18/09/2020;7073,799805;7075,299805;6923,600098;6929,799805;6929,799805;975212000;-2,207112214;-1
21/09/2020;6892,899902;6892,899902;6678,799805;6692,299805;6692,299805;384701000;-3,427227433;-1
22/09/2020;6752,899902;6758;6645,600098;6648,600098;6648,600098;286493700;-0,652984897;0
23/09/2020;6717,799805;6781,100098;6654,200195;6654,200195;6654,200195;294826200;0,084229716;0
24/09/2020;6577,600098;6705,700195;6562,600098;6643,399902;6643,399902;285830200;-0,162307906;0
25/09/2020;6647,399902;6681,899902;6552,299805;6628,299805;6628,299805;263364400;-0,227294717;0
28/09/2020;6709,200195;6798,899902;6681,399902;6791,5;6791,5;212053800;2,462172801;1
29/09/2020;6769,5;6790,700195;6713,600098;6713,600098;6713,600098;198774100;-1,14702057;-1
30/09/2020;6663,600098;6771,100098;6639,700195;6716,600098;6716,600098;247927500;0,044685414;0
01/10/2020;6789,100098;6800,799805;6701,200195;6730,700195;6730,700195;227516000;0,209929083;0
02/10/2020;6675,399902;6754,5;6648,899902;6754,5;6754,5;227139400;0,35360073;0
05/10/2020;6814,5;6851;6794,100098;6837,899902;6837,899902;237493400;1,23473095;1
06/10/2020;6860,100098;6975,399902;6838,799805;6936,200195;6936,200195;265233500;1,437580169;1
07/10/2020;6920,200195;6952,600098;6887,100098;6910,100098;6910,100098;207416200;-0,376288115;0
08/10/2020;6953,200195;7018,799805;6951,700195;6992,799805;6992,799805;202093000;1,196794631;1
09/10/2020;6992,899902;7024,600098;6936,700195;6950,899902;6950,899902;182746300;-0,599186366;0
12/10/2020;6968,799805;6979,899902;6924,799805;6951;6951;167258200;0,001440073;0
13/10/2020;6945,200195;6960,600098;6854,600098;6875,200195;6875,200195;205874300;-1,090487772;-1
14/10/2020;6880,399902;6946,799805;6846,5;6916,600098;6916,600098;178694400;0,602162873;0
15/10/2020;6840,200195;6842,299805;6763;6816,799805;6816,799805;237247000;-1,44290969;-1
16/10/2020;6851,899902;6877;6784,600098;6849,700195;6849,700195;234162000;0,482636882;0
19/10/2020;6882,100098;6932,799805;6816,399902;6860,200195;6860,200195;173622600;0,153291381;0
20/10/2020;6834,799805;6972,100098;6826,700195;6927,299805;6927,299805;221477800;0,978099882;1
21/10/2020;6961,5;6962,200195;6806,100098;6811,5;6811,5;207333200;-1,671644194;-1
22/10/2020;6775,200195;6839,5;6709,299805;6796,600098;6796,600098;212045300;-0,218746267;0
23/10/2020;6802,100098;6902;6791,899902;6893,399902;6893,399902;221927800;1,424238628;1
26/10/2020;6797,899902;6904,200195;6789,700195;6796,899902;6796,899902;195991200;-1,39988977;-1
27/10/2020;6845,200195;6846,700195;6647;6651,299805;6651,299805;273169200;-2,142154498;-1
28/10/2020;6560,799805;6563,799805;6423,299805;6474,399902;6474,399902;323758000;-2,659629068;-1
29/10/2020;6467,700195;6514;6329,5;6411,799805;6411,799805;298195700;-0,966886475;-1
