Date;Open;High;Low;Close;Adj Close;Volume;Variation;Operation(1=BUY,0=NONE,-1=SELL)
03/01/2017;9448,299805;9552,099609;9438,799805;9494,700195;9494,700195;280878700;0;0
04/01/2017;9522,099609;9538,400391;9424,099609;9462,900391;9462,900391;238018000;-0,334921623;0
05/01/2017;9427,900391;9507,200195;9413,599609;9488,200195;9488,200195;221279300;0,267357818;0
06/01/2017;9487;9515,900391;9451,200195;9515,900391;9515,900391;144566300;0,291943629;0
09/01/2017;9536,900391;9536,900391;9446,200195;9492,799805;9492,799805;194378000;-0,242757753;0
10/01/2017;9497,099609;9497,299805;9425;9452;9452;220458300;-0,429797382;0
11/01/2017;9456,400391;9468,099609;9378,599609;9408,599609;9408,599609;298554800;-0,459166219;0
12/01/2017;9378;9452,299805;9343;9407,400391;9407,400391;261902900;-0,012745978;0
13/01/2017;9445,099609;9524,299805;9416,700195;9511,599609;9511,599609;210314400;1,107630309;1
16/01/2017;9457,200195;9465,200195;9407,799805;9410;9410;197583800;-1,068165326;-1
17/01/2017;9390,400391;9429;9361,900391;9394,900391;9394,900391;255119800;-0,160463433;0
18/01/2017;9425,099609;9430,799805;9362,200195;9386,200195;9386,200195;211880300;-0,092605516;0
19/01/2017;9406,400391;9431,299805;9327,400391;9379,099609;9379,099609;259102800;-0,075649207;0
20/01/2017;9377,5;9439;9345,200195;9380,099609;9380,099609;238865500;0,010662004;0
23/01/2017;9337,799805;9362,400391;9279;9304,799805;9304,799805;197619300;-0,802761241;-1
24/01/2017;9319,200195;9387,200195;9296,599609;9387,200195;9387,200195;201309700;0,88556865;1
25/01/2017;9483,5;9588,799805;9479,400391;9549,299805;9549,299805;404755500;1,726815308;1
26/01/2017;9601,599609;9623,5;9495,5;9512,799805;9512,799805;285947300;-0,382226977;0
27/01/2017;9531,400391;9533,5;9420,200195;9504,099609;9504,099609;234868100;-0,091457785;0
30/01/2017;9460,599609;9472,799805;9349,099609;9361,299805;9361,299805;220036700;-1,502507443;-1
31/01/2017;9365,900391;9430,299805;9315,200195;9315,200195;9315,200195;282766800;-0,492448815;0
01/02/2017;9416;9423,299805;9304,5;9330,799805;9330,799805;304379900;0,167464034;0
02/02/2017;9321,200195;9426,400391;9301,5;9406,400391;9406,400391;293592400;0,810226214;1
03/02/2017;9435,299805;9482,599609;9396,799805;9462,700195;9462,700195;393825900;0,598526553;0
06/02/2017;9459,400391;9482;9337,400391;9357,299805;9357,299805;287143900;-1,113851098;-1
07/02/2017;9321,900391;9389,200195;9304,5;9331,5;9331,5;284076000;-0,275718482;0
08/02/2017;9362;9378,400391;9236,599609;9329,700195;9329,700195;312727400;-0,019287414;0
09/02/2017;9353,900391;9444,900391;9318,099609;9438,400391;9438,400391;274080900;1,165098489;1
10/02/2017;9478,200195;9498,299805;9356;9378,099609;9378,099609;231384700;-0,63888773;0
13/02/2017;9421,900391;9501,299805;9387,700195;9484,099609;9484,099609;178862800;1,130292964;1
14/02/2017;9489,099609;9528,599609;9461;9510,200195;9510,200195;206909700;0,275203626;0
15/02/2017;9557,099609;9612,799805;9528,200195;9584,099609;9584,099609;235349200;0,777054242;1
16/02/2017;9582,5;9614,599609;9526;9554,700195;9554,700195;213987000;-0,306751966;0
17/02/2017;9564,799805;9571;9438,200195;9500,299805;9500,299805;234061700;-0,569357373;0
20/02/2017;9564,400391;9577,700195;9512;9526,599609;9526,599609;178864500;0,276831306;0
21/02/2017;9523,599609;9591,299805;9467,599609;9561;9561;209805000;0,361098319;0
22/02/2017;9577,700195;9606,099609;9439,700195;9477,200195;9477,200195;280841300;-0,876475316;-1
23/02/2017;9519,799805;9541,799805;9479,700195;9493,400391;9493,400391;276005300;0,170938628;0
24/02/2017;9513,700195;9530,400391;9383,099609;9453,5;9453,5;285872900;-0,420296094;0
27/02/2017;9494;9499,299805;9427,700195;9464,299805;9464,299805;194245300;0,114241339;0
28/02/2017;9515;9570,700195;9484;9555,5;9555,5;279234600;0,963623267;1
01/03/2017;9618;9756,5;9616,599609;9751,5;9751,5;351704200;2,051174716;1
02/03/2017;9753,099609;9762,299805;9715,799805;9716;9716;275016300;-0,364046557;0
03/03/2017;9694,5;9799,599609;9669,200195;9798,5;9798,5;308709300;0,849114862;1
06/03/2017;9772,299805;9825,299805;9753,900391;9804,099609;9804,099609;228402800;0,057147614;0
07/03/2017;9817,700195;9819,799805;9767,400391;9801,700195;9801,700195;172061100;-0,024473578;0
08/03/2017;9792,299805;9881,299805;9785,099609;9850,5;9850,5;247118100;0,497870819;0
09/03/2017;9844,900391;10014,5;9837,400391;9998,400391;9998,400391;390804800;1,501450596;1
10/03/2017;10038,79981;10091,40039;9989,099609;10006,40039;10006,40039;405124800;0,080012799;0
13/03/2017;10020;10023,40039;9957,400391;9995,900391;9995,900391;193631600;-0,104932839;0
14/03/2017;9987,700195;9995;9886,900391;9905,099609;9905,099609;234655700;-0,90838022;-1
15/03/2017;9931,200195;10000,09961;9913,200195;9983,200195;9983,200195;265807200;0,788488648;1
16/03/2017;10090,79981;10175,29981;10063,7002;10168;10168;412425100;1,851107875;1
17/03/2017;10153;10250,2002;10143,90039;10245,79981;10245,79981;452778600;0,765143637;1
20/03/2017;10216,7002;10243;10189;10214;10214;188819600;-0,310369182;0
21/03/2017;10270,5;10334,7002;10188,90039;10211,90039;10211,90039;313017600;-0,020556188;0
22/03/2017;10151,79981;10268,79981;10092,79981;10229,29981;10229,29981;299747100;0,170383703;0
23/03/2017;10248,90039;10324,90039;10202;10324,90039;10324,90039;226579900;0,934576049;1
24/03/2017;10312,5;10330,29981;10276,2002;10309,40039;10309,40039;189556100;-0,150122514;0
27/03/2017;10218,5;10302,90039;10191,09961;10302,90039;10302,90039;221937100;-0,063049254;0
28/03/2017;10345,59961;10394,79981;10312,90039;10389;10389;215145300;0,835683213;1
29/03/2017;10409,2002;10424,5;10303,2002;10367,59961;10367,59961;232255800;-0,205990865;0
30/03/2017;10372,09961;10406;10348,5;10405,90039;10405,90039;207203700;0,369427673;0
31/03/2017;10368,5;10462,90039;10352,2002;10462,90039;10462,90039;252476900;0,547766151;0
03/04/2017;10457,7002;10457,7002;10324,59961;10325,29981;10325,29981;321622900;-1,31512851;-1
04/04/2017;10304,09961;10361,2002;10270,29981;10361,2002;10361,2002;303646300;0,347693439;0
05/04/2017;10377,2002;10467,29981;10369,09961;10402,7002;10402,7002;254049700;0,400532749;0
06/04/2017;10349,59961;10534,5;10322;10518,90039;10518,90039;230287500;1,117019561;1
07/04/2017;10466,90039;10529;10443,5;10529;10529;194305600;0,096013924;0
10/04/2017;10507,90039;10509;10436,5;10437,7002;10437,7002;222748500;-0,86712703;-1
11/04/2017;10381,40039;10463,2002;10358,90039;10416,29981;10416,29981;309439500;-0,205029744;0
12/04/2017;10441,29981;10486;10353,79981;10360,5;10360,5;310210400;-0,535696995;0
13/04/2017;10347,90039;10350,40039;10264,59961;10326,09961;10326,09961;233810100;-0,332034081;0
18/04/2017;10365,59961;10370,59961;10216,90039;10264,5;10264,5;283861300;-0,596542851;0
19/04/2017;10272,7002;10377,5;10266;10370,29981;10370,29981;324419400;1,030735106;1
20/04/2017;10349,29981;10473,90039;10328,5;10372,5;10372,5;292272500;0,02121631;0
21/04/2017;10388,59961;10434,40039;10307,7002;10377;10377;325215300;0,043383948;0
24/04/2017;10714,2002;10769,79981;10668;10766,79981;10766,79981;496989600;3,756382432;1
25/04/2017;10786,09961;10828,79981;10719;10783,09961;10783,09961;299930000;0,151389496;0
26/04/2017;10810,40039;10815,29981;10710,90039;10763,40039;10763,40039;278421400;-0,182686043;0
27/04/2017;10718,79981;10722,2002;10663,29981;10683,90039;10683,90039;273464800;-0,738614166;-1
28/04/2017;10658,40039;10745,5;10622,79981;10715,79981;10715,79981;298337300;0,298574611;0
02/05/2017;10737,7002;10820,29981;10719,40039;10820,29981;10820,29981;225313300;0,975195523;1
03/05/2017;10793;10841,09961;10769;10837;10837;192962800;0,154341333;0
04/05/2017;10872,09961;11012,90039;10856,40039;11012,90039;11012,90039;310817000;1,623146544;1
05/05/2017;10971,5;11135,40039;10967,2002;11135,40039;11135,40039;363491900;1,112331862;1
08/05/2017;11177,29981;11184,40039;11036,79981;11096,29981;11096,29981;316178000;-0,351137675;0
09/05/2017;11120,09961;11135,09961;11047,09961;11049,2002;11049,2002;268383400;-0,424462306;0
10/05/2017;11029,59961;11053,5;10958,40039;11034,79981;11034,79981;347633500;-0,130329705;0
11/05/2017;11051,29981;11052,59961;10823,90039;10861,40039;10861,40039;400682600;-1,57138704;-1
12/05/2017;10861,90039;10907,59961;10836;10897;10897;262435000;0,327762606;0
15/05/2017;10941,09961;10960,5;10891,90039;10957,79981;10957,79981;200105000;0,55794994;0
16/05/2017;10959,79981;10991,2002;10928,29981;10982,40039;10982,40039;263755600;0,22450297;0
17/05/2017;10925,90039;10965,90039;10761,29981;10786,09961;10786,09961;304084200;-1,78741236;-1
18/05/2017;10727,79981;10756,5;10564,29981;10684,90039;10684,90039;414319000;-0,938237377;-1
19/05/2017;10711,79981;10843,59961;10689,90039;10835,40039;10835,40039;320250400;1,408529743;1
22/05/2017;10843,5;10851;10761,40039;10793,40039;10793,40039;226730400;-0,387618348;0
23/05/2017;10766,29981;10928,7002;10756,5;10916,29981;10916,29981;238314200;1,13865334;1
24/05/2017;10931,2002;10942,79981;10882,29981;10907,40039;10907,40039;204710400;-0,081524089;0
25/05/2017;10971,2002;10983,90039;10920,7002;10937,7002;10937,7002;184795500;0,277791251;0
26/05/2017;10911,09961;10918,79981;10801,59961;10904,2002;10904,2002;179953300;-0,306280108;0
29/05/2017;10864;10915,40039;10844,79981;10884;10884;110544400;-0,185251505;0
30/05/2017;10812,5;10918,5;10788,7002;10876,90039;10876,90039;217854300;-0,065229778;0
31/05/2017;10885;10957,79981;10856,2002;10880;10880;740246400;0,028497172;0
01/06/2017;10891,59961;10909,09961;10836,40039;10881;10881;434893600;0,009191176;0
02/06/2017;10960;11007,7002;10879,59961;10905,90039;10905,90039;426278800;0,228842855;0
05/06/2017;10889,59961;10916,40039;10842,09961;10884,7002;10884,7002;297625800;-0,194391983;0
06/06/2017;10859;10907,79981;10817,90039;10879,7002;10879,7002;403560300;-0,045936038;0
07/06/2017;10813,59961;10946,90039;10761,7002;10871,7002;10871,7002;276982200;-0,073531438;0
08/06/2017;10847,2002;10981,29981;10837,40039;10953,09961;10953,09961;262972200;0,748727545;1
09/06/2017;10947,2002;11048;10884,7002;10978,29981;10978,29981;223090700;0,230073649;0
12/06/2017;10929,7002;10936,59961;10818,5;10842,40039;10842,40039;193102400;-1,237891262;-1
