Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,7038.500000,7042.000000,6903.000000,6956.899902,6956.899902,226079800
2020-09-02,6973.100098,7046.100098,6963.899902,6996.899902,6996.899902,208505300
2020-09-03,7065.200195,7159.600098,6971.200195,7006.000000,7006.000000,246671100
2020-09-04,7015.700195,7133.399902,6954.700195,6989.700195,6989.700195,462539100
2020-09-07,7032.799805,7098.000000,7013.000000,7080.700195,7080.700195,257575100
2020-09-08,7087.899902,7102.600098,6899.000000,6955.000000,6955.000000,246699200
2020-09-09,6946.399902,7038.600098,6938.899902,7020.899902,7020.899902,202896600
2020-09-10,7020.600098,7050.899902,6967.399902,6999.200195,6999.200195,211096000
2020-09-11,6989.399902,7000.899902,6910.399902,6943.200195,6943.200195,209115200
2020-09-14,6989.799805,7005.700195,6935.000000,6951.100098,6951.100098,199767400
2020-09-15,6958.899902,7064.000000,6954.799805,7036.000000,7036.000000,204185200
2020-09-16,7048.299805,7110.799805,7020.700195,7110.799805,7110.799805,239805900
2020-09-17,7027.100098,7101.799805,7013.799805,7086.200195,7086.200195,214242300
2020-09-18,7073.799805,7075.299805,6923.600098,6929.799805,6929.799805,975212000
2020-09-21,6892.899902,6892.899902,6678.799805,6692.299805,6692.299805,384701000
2020-09-22,6752.899902,6758.000000,6645.600098,6648.600098,6648.600098,286493700
2020-09-23,6717.799805,6781.100098,6654.200195,6654.200195,6654.200195,294826200
2020-09-24,6577.600098,6705.700195,6562.600098,6643.399902,6643.399902,285830200
2020-09-25,6647.399902,6681.899902,6552.299805,6628.299805,6628.299805,263364400
2020-09-28,6709.200195,6798.899902,6681.399902,6791.500000,6791.500000,212053800
2020-09-29,6769.500000,6790.700195,6713.600098,6713.600098,6713.600098,198774100
2020-09-30,6663.600098,6771.100098,6639.700195,6716.600098,6716.600098,247927500
2020-10-01,6789.100098,6800.799805,6701.200195,6730.700195,6730.700195,227516000
2020-10-02,6675.399902,6754.500000,6648.899902,6754.500000,6754.500000,227139400
2020-10-05,6814.500000,6851.000000,6794.100098,6837.899902,6837.899902,237493400
2020-10-06,6860.100098,6975.399902,6838.799805,6936.200195,6936.200195,265233500
2020-10-07,6920.200195,6952.600098,6887.100098,6910.100098,6910.100098,207416200
2020-10-08,6953.200195,7018.799805,6951.700195,6992.799805,6992.799805,202093000
2020-10-09,6992.899902,7024.600098,6936.700195,6950.899902,6950.899902,182746300
2020-10-12,6968.799805,6979.899902,6924.799805,6951.000000,6951.000000,167258200
2020-10-13,6945.200195,6960.600098,6854.600098,6875.200195,6875.200195,205874300
2020-10-14,6880.399902,6946.799805,6846.500000,6916.600098,6916.600098,178694400
2020-10-15,6840.200195,6842.299805,6763.000000,6816.799805,6816.799805,237247000
2020-10-16,6851.899902,6877.000000,6784.600098,6849.700195,6849.700195,234162000
2020-10-19,6882.100098,6932.799805,6816.399902,6860.200195,6860.200195,173622600
2020-10-20,6834.799805,6972.100098,6826.700195,6927.299805,6927.299805,221477800
2020-10-21,6961.500000,6962.200195,6806.100098,6811.500000,6811.500000,207333200
2020-10-22,6775.200195,6839.500000,6709.299805,6796.600098,6796.600098,212045300
2020-10-23,6802.100098,6902.000000,6791.899902,6893.399902,6893.399902,221927800
2020-10-26,6797.899902,6904.200195,6789.700195,6796.899902,6796.899902,195991200
2020-10-27,6845.200195,6846.700195,6647.000000,6651.299805,6651.299805,273169200
2020-10-28,6560.799805,6563.799805,6423.299805,6474.399902,6474.399902,323758000
2020-10-29,6467.700195,6514.000000,6329.500000,6411.799805,6411.799805,298195700
2020-10-30,6351.399902,6461.600098,6345.299805,6452.200195,6452.200195,260708300
2020-11-02,6481.399902,6590.700195,6396.299805,6585.600098,6585.600098,222245200
