Date;Open;High;Low;Close;Adj Close;Volume;Datetime;DiffClose;DiffClose(%);SMA_20;EMA_50;BBL_20_2.0;BBM_20_2.0;BBU_20_2.0;BBB_20_2.0;BBP_20_2.0;STOCHk_14_3_3;STOCHd_14_3_3;RSI_14;MACD_12_26_9;MACDh_12_26_9;MACDs_12_26_9;ADX_14;DMP_14;DMN_14
1993-07-12;2826,800049;2826,800049;2814,600098;2826,399902;2826,396973;0,0;1993-07-12;;;;;;;;;;;;;;;;;;
1993-07-13;2826,399902;2843,699951;2820,899902;2843,399902;2843,396973;0,0;1993-07-13;17,0;0,597875803120148;;;;;;;;;;;;;;;;
1993-07-14;2845,399902;2858,399902;2845,399902;2851,100098;2851,097168;0,0;1993-07-14;7,700195999999778;0,270078065845578;;;;;;;;;;;;;;;;
1993-07-15;2848,699951;2848,699951;2835,0;2843,699951;2843,697021;0,0;1993-07-15;-7,4001469999998335;-0,2602295293987517;;;;;;;;;;;;;;;;
1993-07-16;2843,699951;2848,0;2818,800049;2830,5;2830,49707;0,0;1993-07-16;-13,199951000000056;-0,46634697049991364;;;;;;;;;;;;;;;;
1993-07-19;2825,199951;2825,199951;2817,399902;2822,199951;2822,197021;0,0;1993-07-19;-8,300048999999944;-0,2940985452522228;;;;;;;;;;;;;;;;
1993-07-20;2829,5;2840,5;2829,5;2840,0;2839,99707;0,0;1993-07-20;17,800048999999944;0,6267622887323924;;;;;;;;;;;;;;;;
1993-07-21;2832,300049;2832,300049;2819,0;2830,5;2830,49707;0,0;1993-07-21;-9,5;-0,3356297473944533;;;;;;;;;;;;;;;;
1993-07-22;2830,5;2849,899902;2814,100098;2838,899902;2838,896973;0,0;1993-07-22;8,399902000000111;0,29588581105245715;;;;;;;;;;;;;;;;
1993-07-23;2844,699951;2866,0;2844,699951;2855,899902;2855,896973;0,0;1993-07-23;17,0;0,5952589580641401;;;;;;;;;;;;;;;;
1993-07-26;2861,399902;2877,100098;2861,399902;2873,0;2872,99707;0,0;1993-07-26;17,10009799999989;0,5952000696136404;;;;;;;;;;;;;;;;
1993-07-27;2873,0;2878,100098;2857,800049;2876,600098;2876,597168;0,0;1993-07-27;3,600097999999889;0,12515114640032557;;;;;;;;;;;;;;;;
1993-07-28;2896,300049;2913,800049;2896,300049;2901,899902;2901,896973;0,0;1993-07-28;25,299804000000222;0,8718358611392317;;;;;;;;;;;;;;;;
1993-07-29;2901,899902;2963,800049;2892,399902;2963,199951;2963,197021;0,0;1993-07-29;61,300048999999944;2,0687111910660243;;;;;;;;;;;;;;;;
1993-07-30;2973,699951;3044,5;2973,699951;2981,199951;2981,197021;0,0;1993-07-30;18,0;0,6037837211812029;;;;;;;;;;88,43329384869999;;;;;65,75976228933102;6,960109275671011
1993-08-02;2999,399902;3033,100098;2999,399902;3019,699951;3019,696777;0,0;1993-08-02;38,5;1,274961109538396;;;;;;;;87,12040892666265;;90,71822036064896;;;;;55,94507460284925;5,921308397651737
1993-08-03;3016,300049;3016,300049;2983,300049;2994,0;2993,99707;0,0;1993-08-03;-25,699951000000056;-0,8583817969271895;;;;;;;;79,94789395931834;;79,43732900993184;;;;;50,27739457782543;9,802331946605
1993-08-04;2991,300049;2991,300049;2970,399902;2985,800049;2985,797119;0,0;1993-08-04;-8,199951000000056;-0,2746316185086263;;;;;;;;80,613417679897;82,56057352195933;76,18221549534638;;;;;46,95591169272774;12,765863981268351
1993-08-05;2985,800049;2986,0;2970,399902;2981,199951;2981,197021;0,0;1993-08-05;-4,600097999999889;-0,15430357156878569;;;;;;;;75,04339216255397;78,53490126725643;74,34180328212368;;;;;44,846849448402004;12,19247501343662
1993-08-06;2981,199951;2995,899902;2976,899902;2993,800049;2993,797119;0,0;1993-08-06;12,600097999999889;0,42087306412492775;2897,6499755;;2758,4753972211533;2897,6499755;3036,8245537788466;9,60603105658623;0,845429728220035;75,01446405418466;76,89042463221188;76,04860783343425;;;;;45,2506442395575;11,514143910413077
1993-08-09;2993,800049;3001,699951;2979,399902;2989,300049;2989,297119;0,0;1993-08-09;-4,5;-0,15053691252925142;2905,79498285;;2765,193306971195;2905,79498285;3046,396658728805;9,677329385495952;0,7969561551385032;75,52083001030675;75,19289540901512;74,15146226495176;;;;;43,98645579400353;10,757652066189182
1993-08-10;2989,300049;3002,899902;2986,300049;3002,899902;3002,896973;0,0;1993-08-10;13,599853000000167;0,45289065382906546;2913,76998285;;2770,1675016677495;2913,76998285;3057,3724640322503;9,85681656599336;0,8103355820046126;78,66029184914036;76,39852863787725;76,0925659650136;;;;;42,14732332679451;10,219405418292144
1993-08-11;3008,699951;3036,100098;3008,699951;3032,399902;3032,396729;0,0;1993-08-11;29,5;0,9728268352911983;2922,8349730500004;;2773,429199860077;2922,8349730500004;3072,2407462399237;10,223346481585125;0,8666689934756461;83,97665611778935;79,38592599241215;79,66056080086263;;;;;47,77540053515578;9,225231837654135
1993-08-12;3058,600098;3087,399902;3058,600098;3087,0;3086,996826;0,0;1993-08-12;54,60009799999989;1,7687106575963683;2934,9999755;;2774,1655985907933;2934,9999755;3095,8343524092065;10,959753202846775;0,9725358701946113;91,90470571782828;84,84721789491932;84,32380366803332;;;;;54,503949697837925;7,860911852243488
1993-08-13;3087,0;3118,100098;3066,0;3112,699951;3112,696777;0,0;1993-08-13;25,699951000000056;0,825648196246592;2949,10997305;;2778,2218928484576;2949,10997305;3119,9980532515424;11,589129043214905;0,9786465438580179;97,23171248390899;91,0376914398422;85,95596983223439;;;;;55,083564310135856;6,830415190486585
1993-08-16;3112,699951;3115,0;3095,0;3113,899902;3113,896729;0,0;1993-08-16;1,1999510000000555;0,03853531063183339;2963,6949706;;2788,875747577594;2963,6949706;3138,514193622406;11,797382980139394;0,9296007292651934;98,63009285867538;95,92217035347089;86,0291112896123;90,62186278099125;;;;52,25183739720962;6,4792783175627315
1993-08-17;3113,899902;3167,800049;3105,800049;3167,0;3166,996826;0,0;1993-08-17;53,10009799999989;1,6766687085569905;2980,0449706;;2793,768378985064;2980,0449706;3166,321562214936;12,501596012991124;1,0018210494920008;98,59131594341704;98,15104042866714;88,80710254762359;95,24484400030815;;;;57,07253062825348;5,530172959038082
1993-08-18;3177,5;3209,300049;3177,5;3206,699951;3206,696777;0,0;1993-08-18;39,699951000000056;1,2380313595483026;2998,85496815;;2801,154535843878;2998,85496815;3196,555400456122;13,18506125876996;1,0256563691478688;98,92005715903728;98,71382198704323;90,35176639855796;100,94837416358769;;;72,1139461342589;61,05997087906333;4,992811154110349
1993-08-19;3206,699951;3253,600098;3197,899902;3231,199951;3231,196777;0,0;1993-08-19;24,5;0,7582322472002291;3018,4699706;;2810,5609009967798;3018,4699706;3226,3790402032205;13,775791816931209;1,0115937962831056;96,90382767344231;98,13840025863222;91,1623350234759;106,22095905887954;;;73,70222476441609;63,297165713180306;4,38815243264826
1993-08-20;3231,199951;3236,199951;3198,100098;3229,899902;3229,896729;0,0;1993-08-20;-1,3000489999999445;-0,04025044241138667;3037,1699706;;2823,90455155435;3037,1699706;3250,43538964565;14,04369337969709;0,9518546238355355;94,2110932458764;96,67832602611867;90,72676725359625;109,03769876819524;;;75,07339597791783;58,11288095779913;4,028745632919625
1993-08-23;3229,899902;3234,399902;3200,399902;3219,800049;3219,796875;0,0;1993-08-23;-10,099853000000167;-0,3136795094818687;3054,5099730499996;;2841,062486583727;3054,5099730499996;3267,957459516272;13,975890623996895;0,8871914321561203;90,59553475732768;93,90348522554878;87,23943632726643;109,1962649818388;;;76,2660607415536;53,87243538494013;3,7347716240300124
1993-08-24;3219,800049;3258,5;3214,699951;3250,899902;3250,896729;0,0;1993-08-24;31,099853000000167;0,9566536632169785;3073,2249632499997;;2859,818679001946;3073,2249632499997;3286,6312474980537;13,888100402670966;0,9162832865396761;92,35274972655083;92,38645924325164;88,68206007161551;110,55699584458716;;;77,4211154160997;53,97820208106642;3,391447336576005
